date,Q_total,Q_sensible,Q_latent,outdoor_air_flow,heating_setpoint,cooling_setpoint,humidifying_setpoint,dehumidifying_setpoint,state
2001-01-04 22:30:00,183.4337809910612,183.4337809910612,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 23:30:00,508.59143441901324,508.59143441901324,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 00:30:00,693.4258624665417,693.4258624665417,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 01:30:00,814.6640820525199,814.6640820525199,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 02:30:00,900.5503541001817,900.5503541001817,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 03:30:00,970.8764808369751,970.8764808369751,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 04:30:00,1026.230719616141,1026.230719616141,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 05:30:00,1078.6202940572848,1078.6202940572848,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 06:30:00,1122.7577266089465,1122.7577266089465,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 07:30:00,1162.4100161964989,1162.4100161964989,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 08:30:00,1111.7295099722696,1111.7295099722696,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 09:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-05 10:30:00,-517.3130014093103,-517.3130014093103,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 11:30:00,-2403.632013507432,-2403.632013507432,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 12:30:00,-3360.6731172130358,-3360.6731172130358,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 13:30:00,-3845.3412218597705,-3845.3412218597705,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 14:30:00,-3931.0599632607873,-3931.0599632607873,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 15:30:00,-3371.7438035312452,-3371.7438035312452,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 16:30:00,-2386.662469154112,-2386.662469154112,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 17:30:00,-817.0409280701597,-817.0409280701597,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-05 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-05 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-05 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-05 21:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-05 22:30:00,115.64127090736201,115.64127090736201,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-05 23:30:00,468.55525432139893,468.55525432139893,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 00:30:00,659.0291582739392,659.0291582739392,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 01:30:00,790.0396715785,790.0396715785,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 02:30:00,875.3305284598318,875.3305284598318,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 03:30:00,945.6182636661251,945.6182636661251,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 04:30:00,1006.0964841628056,1006.0964841628056,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 05:30:00,1055.0120288906892,1055.0120288906892,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 06:30:00,1103.1246554036052,1103.1246554036052,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 07:30:00,1144.3918429456244,1144.3918429456244,0.0,0.0,20.0,27.0,0.0,100.0,1.0
